Z30_SUB_LIBRARY	Z30_COLLECTION	legacy_code	folio_code
UMSCI	UPER	UMSCI UPER	USPER
UMSCI	UPTRC	UMSCI UPTRC	UPTRC
UMSCI	URF	UMSCI URF	URF
UMSCI	URFD	UMSCI URFD	URFD
UMSCI	USEED	UMSCI USEED	USEED
UMSCI	USTOS	UMSCI USTOS	USTOS
UMDUB	UCDEV	UMDUB UCDEV	UCDEV
UMDUB	UMANX	UMDUB UMANX	UMANX
UMDUB	UMTXK	UMDUB UMTXK	UMGEN
YMAIN	YSTCK	YMAIN YSTCK	YSTCK
SCNLS	SNROV	SCNLS SNROV	SNROV
MHLIB	MESCO	MHLIB MESCO	MESCO
MHLIB	MEAUD	MHLIB MEAUD	MEAUD
MHLIB	MENWS	MHLIB MENWS	MENWS
MHLIB	MERSV	MHLIB MERSV	MERSV
MHLIB	MEVID	MHLIB MEVID	MEVID
MHLIB	MEBKS	MHLIB MEBKS	MEBKS
MHLIB	METHS	MHLIB METHS	METHS
MHLIB	MERSC	MHLIB MERSC	MERSC
FCWWW	FCJSP	FCWWW FCJSP	FCJSP
UMDUB	UWWW	UMDUB UWWW	UMWWW
ACFST	EBEBL	ACFST EBEBL	AEBEBL
ACFST	CAMB	ACFST CAMB	ACAMB
ACFST	AFRI	ACFST AFRI	AAFRI
ACFST	ASLV	ACFST ASLV	AASLV
ACFST	AFIN	ACFST AFIN	AFIN
ACFST	EVANS	ACFST EVANS	AEVANS
ACFST	SHAW	ACFST SHAW	ASHAW
ACFST	AGEOW	ACFST AGEOW	AGEOW

HCLIB	HNET	HCLIB HNET	HNET
FCWWW	FCCLM	FCWWW FCCLM	FCCLM
FCWWW	FCDWC	FCWWW FCDWC	FCDWC
FCWWW	FD2BN	FCWWW FD2BN	FD2BN
FCWWW	FF2IM	FCWWW FF2IM	FF2IM
FCWWW	FG2DL	FCWWW FG2DL	FG2DL
FCWWW	FG2EU	FCWWW FG2EU	FG2EU
FCWWW	FG2MW	FCWWW FG2MW	FG2MW
FCWWW	FG2NU	FCWWW FG2NU	FG2NU
FCWWW	FH2WI	FCWWW FH2WI	FH2WI
FCWWW	FM3CH	FCWWW FM3CH	FM3CH
FCWWW	FM3LD	FCWWW FM3LD	FM3LD
FCWWW	FM3N5	FCWWW FM3N5	FM3N5
FCWWW	FM3N9	FCWWW FM3N9	FM3N9
FCWWW	FR3WS	FCWWW FR3WS	FR3WS
FCWWW	FS3WL	FCWWW FS3WL	FS3WL
FCWWW	FT3JP	FCWWW FT3JP	FT3JP
FCWWW	FV4CH	FCWWW FV4CH	FV4CH
FCWWW	FY4N1	FCWWW FY4N1	FY4N1
FCWWW	FZ4V1	FCWWW FZ4V1	FZ4V1
SCNLS	SCINT	SCNLS SCINT	SCINT
ACMED	AFEQP	ACMED AFEQP	ACMMS
